Timestamp	R_0	C_0	R_1	C_1	R_2	C_2	R_3	C_3
5.249004	2.09201e+04	4.68292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.294882	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.314828	2.09213e+04	4.64147e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.364695	2.08999e+04	4.61654e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.455453	2.08765e+04	4.63292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.474402	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29733e+04	1.12985e-10	1.82676e+05	1.25084e-10
5.518286	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.52427	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.557182	2.09201e+04	4.68292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82809e+05	1.25053e-10
5.679855	2.08748e+04	4.67445e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
5.725732	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.725732	2.09432e+04	4.66640e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.733712	2.09886e+04	4.67479e-11	4.54070e+04	7.38706e-11	9.30320e+04	1.12849e-10	1.82676e+05	1.25084e-10
5.77161	2.09201e+04	4.68292e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.811504	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.838432	2.09886e+04	4.67479e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82809e+05	1.25053e-10
5.887301	2.09432e+04	4.66640e-11	4.54887e+04	7.39850e-11	9.30320e+04	1.12849e-10	1.82676e+05	1.25084e-10
5.935174	2.09432e+04	4.66640e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.977062	2.08748e+04	4.67445e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.026929	2.08748e+04	4.67445e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.047874	2.08970e+04	4.69952e-11	4.55586e+04	7.37388e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.094748	2.09201e+04	4.68292e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.126663	2.09201e+04	4.68292e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.175533	2.09201e+04	4.68292e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.223406	2.09655e+04	4.69131e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.255323	2.09886e+04	4.67479e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.303192	2.09886e+04	4.67479e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.347075	2.09201e+04	4.68292e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.382979	2.08981e+04	4.65792e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.414894	2.08531e+04	4.64937e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.462766	2.08981e+04	4.65792e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.510639	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
6.544549	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.595413	2.08531e+04	4.64937e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.62633	2.09201e+04	4.68292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.748006	2.10116e+04	4.65835e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.748006	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.775933	2.09201e+04	4.68292e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.818818	2.09201e+04	4.68292e-11	4.55626e+04	7.38586e-11	9.30320e+04	1.12849e-10	1.82676e+05	1.25084e-10
6.833778	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
6.966424	2.09886e+04	4.67479e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.966424	2.09664e+04	4.64995e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.023273	2.09213e+04	4.64147e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.035241	2.09213e+04	4.64147e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.047209	2.09432e+04	4.66640e-11	4.54108e+04	7.39911e-11	9.30320e+04	1.12849e-10	1.82758e+05	1.25135e-10
7.078126	2.09201e+04	4.68292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
7.194815	2.08981e+04	4.65792e-11	4.55667e+04	7.39786e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.195813	2.09655e+04	4.69131e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.204788	2.09655e+04	4.69131e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.259643	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.292555	2.08531e+04	4.64937e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.331451	2.08981e+04	4.65792e-11	4.55586e+04	7.37388e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
7.44016	2.09664e+04	4.64995e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
7.466092	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.504988	2.09655e+04	4.69131e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.524935	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.54189	2.09664e+04	4.64995e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
7.57181	2.09432e+04	4.66640e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.689497	2.09655e+04	4.69131e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
7.689497	2.08981e+04	4.65792e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.742356	2.08981e+04	4.65792e-11	4.54108e+04	7.39911e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.772277	2.08748e+04	4.67445e-11	4.55667e+04	7.39786e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.788235	2.08531e+04	4.64937e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.82713	2.08065e+04	4.68252e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.947808	2.09201e+04	4.68292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
7.947808	2.08765e+04	4.63292e-11	4.54772e+04	7.36248e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
7.981717	2.09664e+04	4.64995e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
8.015627	2.09432e+04	4.66640e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
8.040559	2.08517e+04	4.69106e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
8.069483	2.08065e+04	4.68252e-11	4.54847e+04	7.38647e-11	9.29733e+04	1.12985e-10	1.82676e+05	1.25084e-10
8.185175	2.08748e+04	4.67445e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
8.185175	2.08531e+04	4.64937e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
8.200135	2.08981e+04	4.65792e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
